platform,row.complexity,n.rows,time.in.ns,memory.usage.in.mb,date.test.performed
isa4J,minimal,1,2731873,-1,2020-07-26T20:22:25.338539
isa4J,minimal,1,2069184,-1,2020-07-26T20:22:25.370148
isa4J,minimal,1,1440858,-1,2020-07-26T20:22:25.397630
isa4J,minimal,1,1263469,-1,2020-07-26T20:22:25.419805
isa4J,minimal,1,1677212,-1,2020-07-26T20:22:25.447424
isa4J,minimal,1,1556511,-1,2020-07-26T20:22:25.466677
isa4J,minimal,1,1521144,-1,2020-07-26T20:22:25.486583
isa4J,minimal,1,1397542,-1,2020-07-26T20:22:25.510131
isa4J,minimal,1,1525302,-1,2020-07-26T20:22:25.533914
isa4J,minimal,1,1325980,-1,2020-07-26T20:22:25.563218
isa4J,minimal,1,1257833,-1,2020-07-26T20:22:25.584570
isa4J,minimal,1,1316651,-1,2020-07-26T20:22:25.602898
isa4J,minimal,1,1266892,-1,2020-07-26T20:22:25.622328
isa4J,minimal,1,1282779,-1,2020-07-26T20:22:25.640911
isa4J,minimal,1,1245441,-1,2020-07-26T20:22:25.658918
isa4J,minimal,3,1306717,-1,2020-07-26T20:22:25.684285
isa4J,minimal,3,1335161,-1,2020-07-26T20:22:25.708440
isa4J,minimal,3,1341795,-1,2020-07-26T20:22:25.740399
isa4J,minimal,3,2212145,-1,2020-07-26T20:22:25.774077
isa4J,minimal,3,2619674,-1,2020-07-26T20:22:25.807518
isa4J,minimal,3,2473584,-1,2020-07-26T20:22:25.842165
isa4J,minimal,3,2589906,-1,2020-07-26T20:22:25.873756
isa4J,minimal,3,2364690,-1,2020-07-26T20:22:25.902011
isa4J,minimal,3,2784432,-1,2020-07-26T20:22:25.936757
isa4J,minimal,3,2735316,-1,2020-07-26T20:22:25.970524
isa4J,minimal,3,2613508,-1,2020-07-26T20:22:26.002575
isa4J,minimal,3,2637807,-1,2020-07-26T20:22:26.036960
isa4J,minimal,3,2433402,-1,2020-07-26T20:22:26.070989
isa4J,minimal,3,2542905,-1,2020-07-26T20:22:26.106254
isa4J,minimal,3,2652604,-1,2020-07-26T20:22:26.137701
isa4J,minimal,5,2865993,-1,2020-07-26T20:22:26.172520
isa4J,minimal,5,3175855,-1,2020-07-26T20:22:26.207344
isa4J,minimal,5,2800370,-1,2020-07-26T20:22:26.244623
isa4J,minimal,5,2829145,-1,2020-07-26T20:22:26.280200
isa4J,minimal,5,3083915,-1,2020-07-26T20:22:26.309755
isa4J,minimal,5,2932405,-1,2020-07-26T20:22:26.344180
isa4J,minimal,5,2765696,-1,2020-07-26T20:22:26.379582
isa4J,minimal,5,2715047,-1,2020-07-26T20:22:26.415783
isa4J,minimal,5,3147689,-1,2020-07-26T20:22:26.450589
isa4J,minimal,5,2650388,-1,2020-07-26T20:22:26.476382
isa4J,minimal,5,2895174,-1,2020-07-26T20:22:26.512594
isa4J,minimal,5,3006451,-1,2020-07-26T20:22:26.549875
isa4J,minimal,5,9056569,-1,2020-07-26T20:22:26.593357
isa4J,minimal,5,3067544,-1,2020-07-26T20:22:26.638842
isa4J,minimal,5,2895490,-1,2020-07-26T20:22:26.673521
isa4J,minimal,10,3104453,-1,2020-07-26T20:22:26.708981
isa4J,minimal,10,3252624,-1,2020-07-26T20:22:26.744759
isa4J,minimal,10,3055100,-1,2020-07-26T20:22:26.778878
isa4J,minimal,10,3224848,-1,2020-07-26T20:22:26.810617
isa4J,minimal,10,2754714,-1,2020-07-26T20:22:26.844419
isa4J,minimal,10,2863430,-1,2020-07-26T20:22:26.879771
isa4J,minimal,10,2838045,-1,2020-07-26T20:22:26.912759
isa4J,minimal,10,2843396,-1,2020-07-26T20:22:26.945349
isa4J,minimal,10,2924179,-1,2020-07-26T20:22:26.978621
isa4J,minimal,10,2995521,-1,2020-07-26T20:22:27.012111
isa4J,minimal,10,2968680,-1,2020-07-26T20:22:27.045071
isa4J,minimal,10,2852427,-1,2020-07-26T20:22:27.079839
isa4J,minimal,10,2926763,-1,2020-07-26T20:22:27.113706
isa4J,minimal,10,2817913,-1,2020-07-26T20:22:27.147117
isa4J,minimal,10,2816797,-1,2020-07-26T20:22:27.180240
isa4J,minimal,25,3776350,-1,2020-07-26T20:22:27.216640
isa4J,minimal,25,3606157,-1,2020-07-26T20:22:27.251483
isa4J,minimal,25,3830958,-1,2020-07-26T20:22:27.284685
isa4J,minimal,25,3749843,-1,2020-07-26T20:22:27.318971
isa4J,minimal,25,3661171,-1,2020-07-26T20:22:27.354079
isa4J,minimal,25,3474701,-1,2020-07-26T20:22:27.389793
isa4J,minimal,25,3439710,-1,2020-07-26T20:22:27.423753
isa4J,minimal,25,3512816,-1,2020-07-26T20:22:27.456760
isa4J,minimal,25,3500649,-1,2020-07-26T20:22:27.492242
isa4J,minimal,25,3481567,-1,2020-07-26T20:22:27.528310
isa4J,minimal,25,3744808,-1,2020-07-26T20:22:27.559847
isa4J,minimal,25,3345317,-1,2020-07-26T20:22:27.595129
isa4J,minimal,25,3601290,-1,2020-07-26T20:22:27.629886
isa4J,minimal,25,3616854,-1,2020-07-26T20:22:27.665302
isa4J,minimal,25,3432729,-1,2020-07-26T20:22:27.699710
isa4J,minimal,50,4562252,-1,2020-07-26T20:22:27.736762
isa4J,minimal,50,4669253,-1,2020-07-26T20:22:27.772380
isa4J,minimal,50,4480981,-1,2020-07-26T20:22:27.807148
isa4J,minimal,50,4729911,-1,2020-07-26T20:22:27.844177
isa4J,minimal,50,4669192,-1,2020-07-26T20:22:27.881140
isa4J,minimal,50,4277424,-1,2020-07-26T20:22:27.915788
isa4J,minimal,50,4454568,-1,2020-07-26T20:22:27.950167
isa4J,minimal,50,5299749,-1,2020-07-26T20:22:28.004839
isa4J,minimal,50,5327129,-1,2020-07-26T20:22:28.042765
isa4J,minimal,50,4966931,-1,2020-07-26T20:22:28.080485
isa4J,minimal,50,5129024,-1,2020-07-26T20:22:28.115712
isa4J,minimal,50,4572925,-1,2020-07-26T20:22:28.151171
isa4J,minimal,50,4399932,-1,2020-07-26T20:22:28.187007
isa4J,minimal,50,4550408,-1,2020-07-26T20:22:28.224126
isa4J,minimal,50,4119140,-1,2020-07-26T20:22:28.260992
isa4J,minimal,100,6260872,-1,2020-07-26T20:22:28.301163
isa4J,minimal,100,6166231,-1,2020-07-26T20:22:28.339823
isa4J,minimal,100,6457274,-1,2020-07-26T20:22:28.377914
isa4J,minimal,100,4348453,-1,2020-07-26T20:22:28.413174
isa4J,minimal,100,4127945,-1,2020-07-26T20:22:28.448933
isa4J,minimal,100,3940943,-1,2020-07-26T20:22:28.478069
isa4J,minimal,100,3757851,-1,2020-07-26T20:22:28.506695
isa4J,minimal,100,3485365,-1,2020-07-26T20:22:28.541049
isa4J,minimal,100,3214424,-1,2020-07-26T20:22:28.572737
isa4J,minimal,100,3120131,-1,2020-07-26T20:22:28.606718
isa4J,minimal,100,2995417,-1,2020-07-26T20:22:28.640948
isa4J,minimal,100,2854674,-1,2020-07-26T20:22:28.676720
isa4J,minimal,100,2758590,-1,2020-07-26T20:22:28.704253
isa4J,minimal,100,2502610,-1,2020-07-26T20:22:28.730266
isa4J,minimal,100,4873004,-1,2020-07-26T20:22:28.767946
isa4J,minimal,250,8455219,-1,2020-07-26T20:22:28.806471
isa4J,minimal,250,6985190,-1,2020-07-26T20:22:28.847419
isa4J,minimal,250,6219843,-1,2020-07-26T20:22:28.888544
isa4J,minimal,250,6889712,-1,2020-07-26T20:22:28.929339
isa4J,minimal,250,6855067,-1,2020-07-26T20:22:28.968377
isa4J,minimal,250,6913978,-1,2020-07-26T20:22:29.008613
isa4J,minimal,250,6869219,-1,2020-07-26T20:22:29.048882
isa4J,minimal,250,6711376,-1,2020-07-26T20:22:29.089370
isa4J,minimal,250,6829534,-1,2020-07-26T20:22:29.127535
isa4J,minimal,250,6751465,-1,2020-07-26T20:22:29.163769
isa4J,minimal,250,6830349,-1,2020-07-26T20:22:29.202301
isa4J,minimal,250,6792422,-1,2020-07-26T20:22:29.242412
isa4J,minimal,250,6570473,-1,2020-07-26T20:22:29.282886
isa4J,minimal,250,6804144,-1,2020-07-26T20:22:29.321919
isa4J,minimal,250,6756664,-1,2020-07-26T20:22:29.358048
isa4J,minimal,500,11572825,-1,2020-07-26T20:22:29.407687
isa4J,minimal,500,11630310,-1,2020-07-26T20:22:29.454766
isa4J,minimal,500,11595773,-1,2020-07-26T20:22:29.500600
isa4J,minimal,500,12524397,-1,2020-07-26T20:22:29.548671
isa4J,minimal,500,13469008,-1,2020-07-26T20:22:29.606068
isa4J,minimal,500,11616347,-1,2020-07-26T20:22:29.639404
isa4J,minimal,500,11983380,-1,2020-07-26T20:22:29.686330
isa4J,minimal,500,11859573,-1,2020-07-26T20:22:29.734192
isa4J,minimal,500,12651824,-1,2020-07-26T20:22:29.786413
isa4J,minimal,500,11559449,-1,2020-07-26T20:22:29.821515
isa4J,minimal,500,11500306,-1,2020-07-26T20:22:29.868478
isa4J,minimal,500,11424755,-1,2020-07-26T20:22:29.915881
isa4J,minimal,500,12164382,-1,2020-07-26T20:22:29.967697
isa4J,minimal,500,11417138,-1,2020-07-26T20:22:30.002400
isa4J,minimal,500,11472636,-1,2020-07-26T20:22:30.050643
isa4J,minimal,1000,21979147,-1,2020-07-26T20:22:30.115350
isa4J,minimal,1000,19458887,-1,2020-07-26T20:22:30.159114
isa4J,minimal,1000,21642941,-1,2020-07-26T20:22:30.221854
isa4J,minimal,1000,20835455,-1,2020-07-26T20:22:30.270427
isa4J,minimal,1000,22277998,-1,2020-07-26T20:22:30.333750
isa4J,minimal,1000,20851639,-1,2020-07-26T20:22:30.380714
isa4J,minimal,1000,20683666,-1,2020-07-26T20:22:30.441745
isa4J,minimal,1000,18954255,-1,2020-07-26T20:22:30.487779
isa4J,minimal,1000,22446878,-1,2020-07-26T20:22:30.550307
isa4J,minimal,1000,21724978,-1,2020-07-26T20:22:30.595674
isa4J,minimal,1000,20776854,-1,2020-07-26T20:22:30.655360
isa4J,minimal,1000,20544169,-1,2020-07-26T20:22:30.698735
isa4J,minimal,1000,22206011,-1,2020-07-26T20:22:30.759930
isa4J,minimal,1000,20683457,-1,2020-07-26T20:22:30.804772
isa4J,minimal,1000,22266149,-1,2020-07-26T20:22:30.865978
isa4J,minimal,2500,50268983,-1,2020-07-26T20:22:30.939577
isa4J,minimal,2500,43534459,-1,2020-07-26T20:22:31.004320
isa4J,minimal,2500,39482623,-1,2020-07-26T20:22:31.067999
isa4J,minimal,2500,39436918,-1,2020-07-26T20:22:31.131917
isa4J,minimal,2500,39081594,-1,2020-07-26T20:22:31.194212
isa4J,minimal,2500,32243906,-1,2020-07-26T20:22:31.252316
isa4J,minimal,2500,32143855,-1,2020-07-26T20:22:31.314613
isa4J,minimal,2500,31486381,-1,2020-07-26T20:22:31.377434
isa4J,minimal,2500,30434557,-1,2020-07-26T20:22:31.440054
isa4J,minimal,2500,30159976,-1,2020-07-26T20:22:31.501785
isa4J,minimal,2500,30406061,-1,2020-07-26T20:22:31.563674
isa4J,minimal,2500,30255165,-1,2020-07-26T20:22:31.624858
isa4J,minimal,2500,30230629,-1,2020-07-26T20:22:31.685456
isa4J,minimal,2500,41876319,-1,2020-07-26T20:22:31.760076
isa4J,minimal,2500,38594173,-1,2020-07-26T20:22:31.832173
isa4J,minimal,5000,77478327,-1,2020-07-26T20:22:31.942893
isa4J,minimal,5000,65625481,-1,2020-07-26T20:22:32.040089
isa4J,minimal,5000,84720926,-1,2020-07-26T20:22:32.157327
isa4J,minimal,5000,78308140,-1,2020-07-26T20:22:32.268055
isa4J,minimal,5000,75437767,-1,2020-07-26T20:22:32.377681
isa4J,minimal,5000,63231103,-1,2020-07-26T20:22:32.473705
isa4J,minimal,5000,58139807,-1,2020-07-26T20:22:32.564562
isa4J,minimal,5000,53564519,-1,2020-07-26T20:22:32.649409
isa4J,minimal,5000,50227434,-1,2020-07-26T20:22:32.729909
isa4J,minimal,5000,48924196,-1,2020-07-26T20:22:32.809363
isa4J,minimal,5000,70282169,-1,2020-07-26T20:22:32.909032
isa4J,minimal,5000,86454952,-1,2020-07-26T20:22:33.027402
isa4J,minimal,5000,81625816,-1,2020-07-26T20:22:33.141886
isa4J,minimal,5000,78631464,-1,2020-07-26T20:22:33.253664
isa4J,minimal,5000,72291206,-1,2020-07-26T20:22:33.359719
isa4J,minimal,10000,150311605,-1,2020-07-26T20:22:33.544674
isa4J,minimal,10000,125021066,-1,2020-07-26T20:22:33.705717
isa4J,minimal,10000,169744769,-1,2020-07-26T20:22:33.912871
isa4J,minimal,10000,127569348,-1,2020-07-26T20:22:34.077374
isa4J,minimal,10000,100112560,-1,2020-07-26T20:22:34.214636
isa4J,minimal,10000,93678383,-1,2020-07-26T20:22:34.345383
isa4J,minimal,10000,93773957,-1,2020-07-26T20:22:34.475086
isa4J,minimal,10000,93899851,-1,2020-07-26T20:22:34.603684
isa4J,minimal,10000,93786217,-1,2020-07-26T20:22:34.733623
isa4J,minimal,10000,93667095,-1,2020-07-26T20:22:34.863905
